gbifID,species,split_iid
5166817590,Bromus rubens,train
4945552183,Centaurea solstitialis,train
4133841801,Sanicula crassicaulis,train
4145438206,Daucus carota,train
3988626971,Arundo donax,train
5133396140,Torilis arvensis,train
4133907368,Leymus condensatus,train
5932399503,Arundo donax,train
4606962794,Sanicula arctopoides,train
4510065504,Artemisia douglasiana,train
4606951498,Bromus hordeaceus,train
4171185698,Daucus pusillus,train
4009919450,Nassella pulchra,train
4935823622,Daucus carota,train
4936720952,Cortaderia selloana,train
4606997064,Hordeum murinum,train
4096446475,Poa bulbosa,train
4599866398,Scandix pecten-veneris,train
4034899582,Matricaria discoidea,train
3802613775,Isocoma menziesii,train
4607481959,Sanicula crassicaulis,train
4875444163,Daucus pusillus,train
3759251652,Cirsium vulgare,train
4919308983,Matricaria discoidea,train
4908325883,Cortaderia selloana,train
5133341384,Conium maculatum,train
3802559531,Encelia farinosa,train
4111601469,Scandix pecten-veneris,train
4900847135,Achillea millefolium,train
4854997110,Encelia californica,train
4952601628,Encelia californica,train
4525034603,Sanicula bipinnatifida,train
4133695832,Daucus pusillus,train
4080557505,Lomatium dasycarpum,train
4096789588,Sanicula bipinnatifida,train
5133382758,Anthriscus caucalis,train
5069695197,Nassella pulchra,train
4993776818,Artemisia californica,train
3961445654,Cirsium vulgare,train
4102722245,Sanicula bipinnatifida,train
4904218450,Encelia farinosa,train
6131089539,Distichlis spicata,train
6147655326,Artemisia douglasiana,train
3860628394,Cynosurus echinatus,train
4952880234,Achillea millefolium,train
3759163265,Lomatium dasycarpum,train
4507831973,Cirsium vulgare,train
4121292933,Heracleum maximum,train
4607446357,Isocoma menziesii,train
4129978034,Artemisia californica,train
4018123029,Hilaria rigida,train
4987451254,Distichlis spicata,train
5104311368,Anthriscus caucalis,train
4846784149,Scandix pecten-veneris,train
3966635752,Dittrichia graveolens,train
5133199191,Conium maculatum,train
5133271239,Scandix pecten-veneris,train
4096489450,Poa bulbosa,train
4424189634,Daucus pusillus,train
4129794821,Nassella pulchra,train
4973806951,Cirsium vulgare,train
4076191358,Lomatium dasycarpum,train
4901120107,Hordeum murinum,train
3698057790,Sanicula bipinnatifida,train
4112059692,Foeniculum vulgare,train
5062649519,Arundo donax,train
4872523885,Polypogon monspeliensis,train
4607183095,Scandix pecten-veneris,train
4022322755,Sanicula crassicaulis,train
4102570746,Artemisia californica,train
3923505747,Dittrichia graveolens,train
5104270236,Anthriscus caucalis,train
4950384861,Cirsium vulgare,train
3947119592,Daucus pusillus,train
4952611488,Briza maxima,train
3915536861,Angelica capitellata,train
3466016169,Angelica hendersonii,train
3759098158,Cirsium vulgare,train
3759389336,Achillea millefolium,train
4919440114,Cortaderia selloana,train
3743202436,Conium maculatum,train
3988633621,Dittrichia graveolens,train
4596799077,Sanicula bipinnatifida,train
4908694226,Daucus pusillus,train
4982119099,Angelica hendersonii,train
5133354150,Isocoma menziesii,train
4847079854,Sanicula bipinnatifida,train
4080956515,Lomatium dasycarpum,train
4606956679,Scandix pecten-veneris,train
